,File,Category,skills,education
0,12587973.pdf,ADVOCATE,experience nsubstitute teacher skills appropriate diagnostic sales techniques skills nagency budgeting budgets business strategy closing cold calling interpersonal communication skills excellent communication oral contracts ncritical thinking clients client relations customer service customer service skills databases database fluent english forms ftp hr ninsurance leadership legal marketing meetings mergers acquisitions works organizational policies executive presentations problem nsolver process improvement progress proposals quality assurance recruitment sales sales training spanish strategic marketing nsupervision time management vendor relations website written,university city state nbachelor arts
1,10527994.pdf,ARTS,skills noutlook excel word powerpoint quickbooks onenote nexperience n experience item preferences future purchases skills nbuying experience documentation inventory selection materials excel outlook powerpoint word plumbing quickbooks,university
2,12467531.pdf,ACCOUNTANT,skills knowledge experiences teacher advance na new client organization executive leadership position skills ninstructional design teaching progress monitoring course ndevelopment nevernote slack social media excel outlook adobe nphotoshop nmanagement skills n ninstructional design teaching progress monitoring course development n n n nevernote slack social media excel outlook adobe photoshop nmanagement,university california degree elementary education teaching n nbachelor arts university new mexico college
3,11336022.pdf,ARTS,skills work ethic achievement asset company experience nlead teacher skills nacademic autism book clients customer service database internet explorer director excel powerpoint windows microsoft word npurchasing quick read sabre sales staffing inspect vehicles nadditional information n nwilling relocate,college city state teachers education nhigh school diploma
4,10504237.pdf,DIGITAL-MEDIA,experience n skills nanatomy aseptic techniques bachelors biology calculators calibration content credit database department health dna educator nenglish equipment maintenance forms forth good laboratory practices instruction interpretation laboratory procedures laboratory tests nlesson plans director materials money pathology pcr physiology progress qa real,university washington university school education college njanuary nbachelors sciences college composition introduction literature college university new jersey
5,11943065.pdf,ADVOCATE,skills many years classroom nexperience skills nmicrosoft office modern classroom technology nconflict resolution training niep familiarity norganization skills nbook conferences conflict resolution cpr staff training first aid lesson plans microsoft office supervising supervision teacher teaching ntutoring workshops nadditional information n ngrades th th th anchor club faculty advisor junior,university college
6,11616482.pdf,ARTS,experience helping students broaden nperspectives aligning subject matter present day experience events skills nexperiential learning ninterpersonal oral written communication skills n ndifferentiated learning npositive encouraging nable work independently member team ncurriculum lesson plan development n na omplishments n nsecondary experience nguest teacher jan current ncompany name skills use challenging debate skills nbranding business case interpersonal oral critical thinking functional lesson planning meetings microsoft office outlook relationship building nseminars written communication skills,university nevada university
7,10909720.pdf,AUTOMOBILE,skills n ni lot patience communicate really well children usually calm stressful situation quickly experience nmaster teacher sep apr ncompany name skills reading storytelling skills reading storytelling skills reading storytelling experience planning implementing various activities promoting physical social nemotional intellectual growth children,college
8,13087952.pdf,AUTOMOBILE,experience training coordination ncommunication leadership organizational skills skills proficient microsoft napplications grade attendance keeping software experience training coordination ncommunication leadership organizational skills skills proficient microsoft napplications grade attendance keeping software skills n nnational board certified nap bio certified nap chem certified summer ntrained educating skills nchemistry hematology immunology lesson plans machinery medical technology typing urinalysis n nmentoring communication social skills lesson plans chemistry biology medical microbiology medical technology,college prep medical microbiology college prep basic chemistry university college health sciences carolinas medical center
9,16820422.pdf,ADVOCATE,experience ncompany name january january associate teacher ncity state aintain safe classroom setting fostering positive engaging learning environment skill development program season post skills ngames increase recruitment associate budget fundraising health wellness liaison recruiting arrangements exchange progress nteam player travel arrangements field operations operations packing program manager purchase orders vouchers coaching award,college counseling office college recruitment process coached skidmore forward nmigle vilunate member liberty league college bachelor science college saratoga springs ny may nholderness school plymouth nh june nconcordia university master university irvine ca may master ncoaching athletic administration nprofessional affiliations nuniversity rochester boys
10,14958913.pdf,AUTOMOBILE,skills common diseases nmedical issues nexperience ncompany name february june teacher ncity state n ntaught children autism music dance art build focus everyday skills skills needed improve skills personal skills related hospital nsurroundings basic laboratory skills classroom setting skills career options opportunities skills nacute care art autism basic biochemistry biology chemistry cpr focus fundraising law patient care pediatrics physical therapy nresuscitation teaching urology vital signs nadditional information n nleadership activities rangoli dance company los angeles ca lead skills common diseases medical issues,university may b
11,13296856.pdf,ARTS,experience teaching facilitating training nfamiliar culturally responsive teaching ncultivates relationships teachers nexceptional organization time management skills nability multi task remain flexible ntrained business leadership management nmember denver metro chamber commerce nexcellent presentation communication skills experience higher education nmasters degree education nexperience work based learning opportunities ncommunity outreach specialist ncertified conflict dispute resolution nknowledge educational trends expectations nclimate ndeep understanding ela nfamiliarity denver plan n nexperience nteacher sep jul ncompany name skills n ntraining nconference organization nmicrosoft office suite nnon,degree education nexperience work based learning opportunities ncommunity outreach specialist ncertified conflict dispute resolution nknowledge educational trends expectations nclimate ndeep understanding ela nfamiliarity denver plan n nexperience nteacher sep jul ncompany name university denver create college preparedness workshops nworked playworks university denver college
12,22408666.pdf,ADVOCATE,experience ncompany name august current teacher ncity state n nkey contributions experience nassists developing organizing implementing activities increase student participation skills habits nworked small groups children direction certificated staff nassisted checking care preparation arrangement instructional materials students skills nincrease training coaching teaching clerical filing class comprehensive large array data stewardship system liaison translate nmathematics writing test wpm cpr cpr first aid typing,college city state us bakersfield college bakersfield ca university bakersfield bachelor arts university bakersfield ca college city state us irvine valley college irvine ca college city state us allen hancock college santa maria ca
13,13330982.pdf,ADVOCATE,skills incorporated trip ramapo children help instill leadership qualities experience nteacher skills ncreated ran skills youth incarcerated non skills n nclassroom management ncommunity involvement nclassroom instruction ncritical thinking nurban classroom setting n nprofessional affiliations n nnational science teachers association n nnew york academy sciences n nunited federation teachers,university
14,16270906.pdf,ACCOUNTANT,skills involvement team player n nexperience nteacher nmarch current company name n nsenior ountant nresponsible auditing third party vendor skills involvement team player skills na ounting credit invoices budget ounts payable cash ounts ountant audits billing buying skills executive assistant nfixed assets maintenance pipeline purchase orders reconciling supply chain ounts clerk estimation finance ounts nand ounting audit auditing benefits collection financial report healthcare increase insurance billing reconciliation solutions ndatabase administrative assistant disbursement filings great customer service skills legal documents team player medicaid quota,degree program nreconcile statement ounts including researching outstanding invoices resolve existing discrepancies order avoid nunwanted payment delays nrecognized work ethics great customer service skills involvement team player n nexperience nteacher nmarch current company name n nsenior ountant nresponsible auditing third party vendor degree program university university austin ntexas bachelors arts business administration january december nassociates arts university university illinois associates arts business administration november december neagle pass high school eagle pass texas nhigh school diploma high school diploma may nprofessional affiliations nmaximus texas ess alliance nskills na ounting credit invoices budget ounts payable cash ounts ountant audits billing buying
15,21531811.pdf,ACCOUNTANT,experience naugust nto ncurrent ncompany name city state preschool teacher n nprovide variety materials resources children explore manipulate use learning activities imaginative play skills color shape number letter recognition personal hygiene social skills skills ncash handling cost control critical thinking financial ounting inventory levels lesson planning personnel positioning quality receiving nsupervising surveys teaching tutoring,college city state associate arts
16,19464810.pdf,ACCOUNTANT,experience supplying thorough organized nadministrative support senior executives skills n nfiling data archiving employee training development critical thinker microsoft office skills omplish tasks busy environment,university louisiana lafayette
17,17311685.pdf,ARTS,skills nmicrosoft office n nacademic assessment methods nwhole brain teaching techniques classroom management experience kindergarten nexperienced smart board nproficient ms word powerpoint excel n nexperience n skills nco,university university university
18,17481570.pdf,ARTS,experience fostering cohesive student learning environment experience working students abilities experience n skill gains skills group students,college college
19,13855004.pdf,ARTS,skills nmicrosoft office microsoft windows xp professional skills use various strategies procedures small ngroup instruction increase student growth vocabulary fluency comprehension utilize technology across multiple content areas nteach students strategies previewing books choose book skill needs subjects reading writing math administer analyze developmental reading assessment skills connecticut mastery tests used everyday nmathematics curriculum provide math instruction lead inquiry skills special education nstudents administer cmt skills narts basic book content council k inspiration instruction internet browsers inventory lesson plans materials math mathematics excel nmicrosoft office powerpoint publisher microsoft windows xp professional word next non,university city state n collaborative endorsement university city state nncate endorsement national council reditation teacher education remedial reading remedial language arts grades k university
20,18001081.pdf,ADVOCATE,skills experience ncompany name august current teacher ncity state n nobserved assessed student performance kept thorough records progress skills use children skill level skills use children skill level,university texas master arts university texas bachelor arts
21,16210888.pdf,ARTS,experience n experience public schools skills nacademic arts coach continuous improvement council critical thinking educational programs english instruction leadership leadership ntraining lesson plans mathematics mentor policies project mgmt quality reading research spanish staff development strategic teacher nteaching,university curriculum leadership nmaster education university missouri educational leadership policy analysis graduated nwith distinction n n n nbachelor science
22,15899269.pdf,ADVOCATE,experience n skills ndischarge planning lesson plans evaluate patients supervision nactivities honors nnational association social workers,university university university university n
23,19556300.pdf,ACCOUNTANT,experience administrative skills n nexperience n skills nbookkeeping conferences email english english instruction lesson plans materials meetings mail money office notary public payroll npolicies reading secretarial tax teacher telephone phones phone,university degree college
24,19786924.pdf,CONSTRUCTION,experience early childhood education experience early childhood education experience early childhood education skills nclassroom management creation forms data payroll schedule activities field trips maintain tuition data receipts knowledge nexcel skill test cpr skills nbudget cpr first aid forms prepare meals excel power point word payroll personnel pr n nbudget create forms excel power point word payroll n ncertifications n nemt n n n nred cross skills tester n ncpr,university college college
25,20626794.pdf,APPAREL,skills costumer service industry prepare career future experience student npractioner experience nmay nto ncurrent ncompany name city state preschool teacher noffered detailed daily reports outlined child skills nmicrosoft excel experienced wpm,college america phoenix college america city state united states associate medical
26,19302310.pdf,ADVOCATE,experience n experience school skills learn problem solving skills help children feel safe friendly nnurturing environment skills respect good citizenship trustworthiness skills nbookkeeper child care conferences counseling documentation educator email human resources internet navigation meetings mentor nmicrosoft office products next organizational evaluation patients problem solving skills progress reporting safety staff development nteacher teaching team player time management unique workshops,university west florida
